Ticker,Sector
COMB-N0000.CM,Banking/Finance
DFCC-N0000.CM,Banking/Finance
HNB-N0000.CM,Banking/Finance
LOLC-N0000.CM,Banking/Finance
NTB-N0000.CM,Banking/Finance
SAMP-N0000.CM,Banking/Finance
BUKI-N0000.CM,Consumer
CARG-N0000.CM,Consumer
DIST-N0000.CM,Consumer
MAL-N0000.CM,Consumer
BIL-N0000.CM,Diversified
HAYL-N0000.CM,Diversified
JKH-N0000.CM,Diversified
MELS-N0000.CM,Diversified
ACL-N0000.CM,Industrial
CTHR-N0000.CM,Industrial
LIOC-N0000.CM,Industrial
TJL-N0000.CM,Industrial
DIAL-N0000.CM,Telecom
EXPO-N0000.CM,Telecom
LGL-N0000.CM,Telecom
